Year,Sex,Age Group,COVID-19 Deaths,Pneumonia Deaths,Influenza Deaths
2020.0,All Sexes,50-64 years,2759.0,2289.0,38.0
2020.0,All Sexes,55-64 years,2157.0,1829.0,30.0
2020.0,All Sexes,65-74 years,3381.0,3071.0,31.0
2020.0,All Sexes,75-84 years,4080.0,3800.0,49.0
2020.0,All Sexes,85 years and over,4420.0,3968.0,48.0
2020.0,Male,50-64 years,1665.0,1346.0,19.0
2020.0,Male,55-64 years,1278.0,1052.0,14.0
2020.0,Male,65-74 years,1888.0,1753.0,11.0
2020.0,Male,75-84 years,2186.0,2088.0,23.0
2020.0,Male,85 years and over,1859.0,1808.0,22.0
2020.0,Female,35-44 years,145.0,120.0,0.0
2020.0,Female,50-64 years,1094.0,943.0,19.0
2020.0,Female,55-64 years,879.0,777.0,16.0
2020.0,Female,65-74 years,1493.0,1318.0,20.0
2020.0,Female,75-84 years,1894.0,1712.0,26.0
2020.0,Female,85 years and over,2561.0,2160.0,26.0
2020.0,All Sexes,45-54 years,611.0,491.0,19.0
2020.0,All Sexes,50-64 years,2133.0,1953.0,51.0
2020.0,All Sexes,55-64 years,1731.0,1619.0,41.0
2020.0,All Sexes,65-74 years,3338.0,3163.0,53.0
2020.0,All Sexes,75-84 years,4908.0,4411.0,74.0
2020.0,All Sexes,85 years and over,7498.0,5754.0,95.0
2020.0,Male,45-54 years,408.0,305.0,12.0
2020.0,Male,50-64 years,1365.0,1243.0,34.0
2020.0,Male,55-64 years,1100.0,1039.0,28.0
2020.0,Male,65-74 years,2041.0,1943.0,31.0
2020.0,Male,75-84 years,2659.0,2456.0,36.0
2020.0,Male,85 years and over,3053.0,2664.0,35.0
2020.0,Female,35-44 years,72.0,63.0,0.0
2020.0,Female,50-64 years,768.0,710.0,17.0
2020.0,Female,55-64 years,631.0,580.0,13.0
2020.0,Female,65-74 years,1297.0,1220.0,22.0
2020.0,Female,75-84 years,2249.0,1955.0,38.0
2020.0,Female,85 years and over,4445.0,3090.0,60.0
2020.0,All Sexes,45-54 years,2013.0,1671.0,26.0
2020.0,All Sexes,50-64 years,5796.0,5134.0,86.0
2020.0,All Sexes,55-64 years,4543.0,4076.0,65.0
2020.0,All Sexes,65-74 years,7682.0,7298.0,96.0
2020.0,All Sexes,75-84 years,8485.0,7814.0,90.0
2020.0,All Sexes,85 years and over,8367.0,7068.0,72.0
2020.0,Male,15-24 years,39.0,40.0,0.0
2020.0,Male,45-54 years,1292.0,1038.0,16.0
2020.0,Male,50-64 years,3510.0,3054.0,41.0
2020.0,Male,55-64 years,2704.0,2410.0,29.0
2020.0,Male,65-74 years,4549.0,4259.0,52.0
2020.0,Male,75-84 years,4799.0,4501.0,39.0
2020.0,Male,85 years and over,3673.0,3346.0,29.0
2020.0,Female,45-54 years,721.0,633.0,10.0
2020.0,Female,50-64 years,2286.0,2080.0,45.0
2020.0,Female,55-64 years,1839.0,1666.0,36.0
2020.0,Female,65-74 years,3133.0,3039.0,44.0
2020.0,Female,75-84 years,3686.0,3313.0,51.0
2020.0,Female,85 years and over,4694.0,3722.0,43.0
2020.0,All Sexes,45-54 years,570.0,445.0,12.0
2020.0,All Sexes,50-64 years,1836.0,1510.0,42.0
2020.0,All Sexes,55-64 years,1476.0,1237.0,34.0
2020.0,All Sexes,65-74 years,2417.0,2163.0,41.0
2020.0,All Sexes,75-84 years,3429.0,2936.0,46.0
2020.0,All Sexes,85 years and over,4606.0,3531.0,52.0
2020.0,Male,50-64 years,1189.0,914.0,22.0
2020.0,Male,55-64 years,953.0,739.0,16.0
2020.0,Male,65-74 years,1491.0,1341.0,24.0
2020.0,Male,75-84 years,1961.0,1688.0,26.0
2020.0,Male,85 years and over,2023.0,1698.0,22.0
2020.0,Female,50-64 years,647.0,596.0,20.0
2020.0,Female,55-64 years,523.0,498.0,18.0
2020.0,Female,65-74 years,926.0,822.0,17.0
